rms,zcr,spectral_centroid,spectral_bandwidth,spectral_rolloff,pressing
9.964182679935613,0.035807291666666664,6617.441824401711,6717.32803209708,15324.462890625,1
7.933423060186922,0.07096354166666667,7160.99723191706,6671.135794295362,15633.10546875,1
4.1702646292579475,0.10139973958333333,8225.160450522477,6691.186490140014,16652.34375,1
4.702491906111242,0.07194010416666667,8430.362864845889,6750.14713927895,16960.986328125,1
4.550183977453564,0.10270182291666667,8339.528770881116,6698.670168086013,16767.1875,1
5.090380950519873,0.0908203125,8051.839160907657,6697.520669026053,16451.3671875,1
4.8957368765517115,0.0986328125,7878.266010721719,6701.658779529383,16336.5234375,1
3.8156236274116067,0.1220703125,8112.687526074762,6665.765996561065,16551.85546875,1
3.579280970893811,0.12613932291666666,8287.790082774078,6610.703108925994,16379.58984375,1
3.9911426434952126,0.10660807291666667,8049.497511552748,6520.29848231778,15920.21484375,1
4.577721637474218,0.07275390625,7645.300397343068,6537.839481617041,15633.10546875,1
4.223991626785959,0.06689453125,7824.341395260583,6526.109401086799,15740.771484375,1
3.986706585778408,0.08317057291666667,7713.6055503925745,6472.7311122295405,15654.638671875,1
3.42246236485348,0.09602864583333333,7973.4982933562815,6390.481999195749,15869.970703125,1
3.8228703310546743,0.10498046875,7681.382382866944,6451.936026704236,15733.59375,1
3.9014632649796255,0.09944661458333333,7877.233027639771,6501.338740783761,15905.859375,1
4.707891972417851,0.04443359375,7800.612543063881,6606.956097723251,15905.859375,1
4.9100807449531905,0.048502604166666664,7796.862530386032,6594.69139756962,15898.681640625,1
4.442922959979406,0.07177734375,7748.625613689529,6547.540291382656,15834.08203125,1
6.934749029462666,0.08675130208333333,6875.148855146702,6019.4722783004445,13967.87109375,1
6.98033275510923,0.09065755208333333,6517.559516550874,5980.458955334646,13565.91796875,1
6.6458917075153865,0.09000651041666667,6460.216429712549,6333.674597995653,14577.978515625,1
7.542859990885769,0.06787109375,6787.628161708041,6558.402953631691,15252.685546875,1
7.258513994499732,0.07145182291666667,6658.174901034348,6446.112259805518,14987.109375,1
4.1532573095694225,0.0869140625,7815.506655265889,6479.080805445413,16063.76953125,1
3.817288021657572,0.09000651041666667,8097.8590966091915,6483.276882184641,16171.435546875,1
3.5844744873233836,0.09000651041666667,8080.160843052999,6505.940830325347,16192.96875,1
4.177004718820967,0.08219401041666667,7764.661544081136,6553.874475173362,15884.326171875,1
4.390221769675519,0.12158203125,7341.986579937068,6513.852399580249,15424.951171875,1
7.005766357112813,0.08984375,6891.904148324519,6514.895259465201,15015.8203125,1
7.154884869476433,0.061848958333333336,6902.371854266387,6461.757675787442,15030.17578125,1
4.632305874318819,0.07275390625,7303.921354498962,6435.305083081444,15410.595703125,1
3.868998191450165,0.07063802083333333,7908.035082199862,6419.207747705673,15819.7265625,1
3.9344677273604183,0.06298828125,7884.07475389116,6435.11359745318,15905.859375,1
3.603789092853704,0.10302734375,7505.538934841042,6294.075347933868,15389.0625,1
4.829676109726602,0.0888671875,7084.044959767695,5996.725318971164,14283.69140625,1
5.887866264361432,0.08512369791666667,6618.867064904451,5730.261356751961,13171.142578125,1
6.124983795674702,0.08968098958333333,6555.248315324871,5647.815785326008,13013.232421875,1
5.305118577524643,0.11181640625,7156.372408842712,5732.93161033712,13731.005859375,1
4.52448470960808,0.12467447916666667,8111.3414003837825,5772.517281115729,14613.8671875,1
4.964026671820781,0.119140625,7940.472354599563,5944.04777696498,14721.533203125,1
5.324838213163874,0.10123697916666667,7759.650704818746,5996.318670360663,14685.64453125,1
5.753244172794749,0.08740234375,7571.661789238419,6167.208602639614,14857.91015625,1
5.684857461336817,0.08154296875,7665.117158969556,6229.801886028358,15295.751953125,1
5.908405529274933,0.07145182291666667,7700.7072089391295,6221.992930150598,15145.01953125,1
4.853198844057773,0.08740234375,8022.302463268079,6153.015024697755,15288.57421875,1
4.693413541496887,0.09358723958333333,8341.228264071913,6396.830346206872,16085.302734375,1
4.7297183779443195,0.08512369791666667,8498.487510629266,6557.264972360448,16760.009765625,1
4.759840318204954,0.08414713541666667,8432.373378321692,6735.551325447319,17004.052734375,1
4.936346180285095,0.0712890625,8440.83871453341,6784.761221355748,17090.185546875,1
4.586435456826687,0.09358723958333333,8294.247636790345,6754.224516408412,16767.1875,1
4.261314606768484,0.10970052083333333,8353.411899998255,6722.428420247833,16716.943359375,1
4.059337558716691,0.12434895833333333,8657.392205607,6691.670263433123,16975.341796875,1
3.4434766966592893,0.14029947916666666,9122.304091442493,6651.641440863954,17348.583984375,1
3.78050208401735,0.1044921875,8963.516272568037,6709.240952226636,17355.76171875,1
3.646468594728494,0.10465494791666667,9121.408099577244,6738.486308704472,17571.09375,1
3.687670141265403,0.10660807291666667,8798.419851588349,6714.336526317681,17283.984375,1
4.279907049892191,0.11067708333333333,8739.436745527113,6663.92727573279,17032.763671875,1
4.795263846119627,0.07731119791666667,8377.343188775549,6717.817655132229,17004.052734375,1
7.695486220309224,0.07177734375,7439.444799359208,6777.688312887424,16228.857421875,1
7.817856149427396,0.06559244791666667,7385.581248314437,6835.1183172424935,16185.791015625,1
4.108222908119144,0.12141927083333333,8743.635339854396,6711.62871965965,17126.07421875,1
3.1573956048371015,0.14680989583333334,9050.489101087862,6660.922935550901,17456.25,1
8.804387620914378,0.115234375,7967.520011941594,5679.8887187917035,14527.734375,1
9.658788537247284,0.11165364583333333,6932.1493585571625,5218.531445531616,12561.03515625,1
9.992783239838785,0.10791015625,6957.311168342577,5459.469490785935,12998.876953125,1
5.486082043566951,0.09456380208333333,7511.859075360901,6360.952369688432,15231.15234375,1
4.706542536695888,0.09033203125,7862.134052045126,6400.063184868264,15905.859375,1
4.202345728146933,0.09488932291666667,8045.779891675007,6503.661098991625,16350.87890625,1
3.9112198421154405,0.1064453125,8495.071332360194,6508.656005690357,16508.7890625,1
4.875584566376,0.08658854166666667,8135.004951009341,6656.604912949572,16480.078125,1
4.865989975246707,0.08642578125,8190.316806672078,6714.998583584715,16566.2109375,1
4.802638415826872,0.08170572916666667,7798.132544039762,6690.080485205545,16228.857421875,1
4.68731926451328,0.0859375,7997.431735171159,6704.8465152112685,16465.72265625,1
4.531999554689118,0.10009765625,7938.832537590187,6713.351972935921,16437.01171875,1
9.629525829193243,0.1171875,6861.268380022307,5566.804897693546,13207.03125,1
10.090381037090928,0.10172526041666667,6422.064374139995,5428.536701463975,12446.19140625,1
5.693311260018047,0.11376953125,7005.332682981857,6065.2165159239585,14448.779296875,1
4.4426165831931925,0.10302734375,7729.388770292701,6514.830511118325,16006.34765625,1
4.526389650349123,0.09228515625,8301.161344009646,6578.029488434743,16508.7890625,1
4.485912613752236,0.10042317708333333,8571.51200206316,6712.930299121715,17047.119140625,1
3.575095343492747,0.13297526041666666,8872.569023504866,6746.915620022868,17420.361328125,1
3.5962271013926927,0.13151041666666666,8690.582069371869,6726.197572328914,17161.962890625,1
3.606683652491164,0.12060546875,8840.46002453549,6759.975446932204,17355.76171875,1
3.968226802545796,0.09684244791666667,8754.14074651541,6883.939293172051,17413.18359375,1
3.940114326696754,0.10270182291666667,8673.35772645568,6773.271652243682,17147.607421875,1
3.9691414039529382,0.09586588541666667,8331.392860951431,6721.230825145343,16781.54296875,1
3.4027852368936027,0.12711588541666666,8707.144113109565,6683.614940856878,17011.23046875,1
2.931771018806732,0.13736979166666666,8799.304407153259,6627.7825873278025,17126.07421875,1
3.593955401294968,0.12353515625,8919.760395503532,6631.243417608713,17190.673828125,1
4.045790534942656,0.10432942708333333,8418.586562533234,6591.579033580824,16645.166015625,1
4.2064465261661725,0.10009765625,8169.784449363527,6601.853476413112,16422.65625,1
4.210327808387785,0.10563151041666667,8076.854301126186,6637.097620257999,16379.58984375,1
4.301373604098192,0.09586588541666667,8019.305813990696,6602.2355960742925,16271.923828125,1
4.520471684108192,0.07470703125,7978.828828357604,6614.031430831772,16300.634765625,1
3.421003769021426,0.10498046875,8253.599373457271,6484.016163998834,16322.16796875,1
3.4669819299153186,0.11767578125,8414.872283637584,6590.034490690504,16738.4765625,1
4.865057453827047,0.07747395833333333,7984.419901426547,6712.379153152822,16559.033203125,1
5.62314700271619,0.05712890625,7773.00624164553,6738.362284551341,16429.833984375,1
4.608837088718241,0.06917317708333333,7968.569236051109,6643.5902435729595,16530.322265625,1
4.197160045803679,0.08642578125,8101.951157897002,6714.387681771313,16767.1875,1
4.718962019431269,0.08251953125,8291.269157334731,6802.114217278064,17011.23046875,1
5.029675998845009,0.0849609375,8224.603518934511,6828.398500846483,16996.875,1
